iter	Passed	Remaining
405	8820	34631
406	8828	34552
407	8836	34478
408	8847	34417
409	8864	34376
410	8894	34388
411	8908	34336
412	8921	34283
413	8931	34215
414	8941	34149
415	8950	34079
416	8959	34012
417	8969	33946
418	8978	33879
419	8988	33815
420	8999	33753
421	9008	33687
422	9018	33621
423	9028	33559
424	9037	33492
425	9048	33432
426	9057	33368
427	9067	33304
428	9077	33242
429	9088	33183
430	9098	33120
431	9107	33057
432	9118	32998
433	9128	32939
434	9138	32877
435	9147	32813
436	9158	32756
437	9168	32695
438	9176	32630
439	9187	32573
440	9200	32524
441	9211	32468
442	9220	32408
443	9231	32350
444	9244	32303
445	9253	32241
446	9264	32187
447	9274	32130
448	9283	32069
449	9293	32012
450	9304	31956
451	9313	31896
452	9323	31838
453	9332	31778
454	9341	31720
455	9350	31661
456	9359	31602
457	9368	31541
458	9377	31483
459	9387	31429
460	9396	31370
461	9405	31310
462	9414	31251
463	9422	31192
464	9431	31135
465	9441	31080
466	9452	31030
467	9462	30976
468	9473	30924
469	9480	30863
470	9489	30807
471	9497	30744
472	9506	30688
473	9514	30631
474	9522	30573
475	9530	30514
476	9538	30456
477	9547	30399
478	9556	30345
479	9564	30288
480	9572	30229
481	9579	30169
482	9587	30110
483	9596	30058
484	9604	30001
485	9612	29945
486	9620	29890
487	9629	29834
488	9636	29777
489	9644	29720
490	9653	29666
491	9662	29615
492	9673	29569
493	9683	29519
494	9692	29469
495	9701	29417
496	9711	29368
497	9719	29315
498	9728	29263
499	9737	29211
500	9748	29168
501	9758	29118
502	9766	29067
503	9774	29014
504	9783	28964
505	9792	28911
506	9801	28862
507	9810	28812
508	9821	28769
509	9831	28722
510	9839	28671
511	9851	28630
512	9861	28585
513	9871	28539
514	9884	28500
515	9895	28458
516	9904	28411
517	9913	28363
518	9922	28314
519	9931	28267
520	9941	28221
521	9951	28175
522	9960	28129
523	9969	28082
524	9980	28039
525	9990	27996
526	9998	27945
527	10007	27899
528	10015	27851
529	10025	27805
530	10032	27755
531	10041	27709
532	10050	27661
533	10058	27614
534	10068	27570
535	10076	27522
536	10086	27479
537	10095	27435
538	10106	27394
539	10114	27346
540	10126	27310
541	10135	27263
542	10144	27221
543	10154	27177
544	10163	27132
545	10172	27089
546	10180	27042
547	10189	26999
548	10200	26958
549	10209	26915
550	10218	26871
551	10226	26826
552	10235	26783
553	10245	26741
554	10255	26701
555	10265	26660
556	10275	26620
557	10287	26584
558	10298	26547
559	10307	26505
560	10318	26466
561	10327	26424
562	10337	26386
563	10347	26346
564	10357	26306
565	10366	26263
566	10374	26219
567	10383	26177
568	10391	26134
569	10401	26095
570	10411	26056
571	10419	26011
572	10427	25969
573	10436	25928
